cenario,perfil_time,tamanho_time,objetivo,oportunidade,impacto,confianca,facilidade,setor,ice_score,prioridade,perfil_time_enc
MVNO,Pleno,14,Aquisição de novos clientes,Portal Self-Service,7,7,6,Telecom,294,Média,1
MVNO,Pleno,14,Aquisição de novos clientes,API de Integração,8,6,4,Telecom,192,Baixa,1
MVNO,Pleno,14,Aquisição de novos clientes,Onboarding Digital,10,8,6,Telecom,480,Alta,1
MVNO,Pleno,14,Aquisição de novos clientes,Plano Freemium PME,9,7,7,Telecom,441,Alta,1
MVNO,Pleno,14,Aquisição de novos clientes,Dashboard Consumo,6,6,6,Telecom,216,Baixa,1
MVNO,Pleno,14,Aquisição de novos clientes,Detecção Inativos,5,5,5,Telecom,125,Baixa,1
MVNO,Pleno,14,Aquisição de novos clientes,Autoportabilidade,9,8,7,Telecom,504,Alta,1
MVNO,Sênior,14,Aquisição de novos clientes,Portal Self-Service,8,8,7,Telecom,448,Alta,2
MVNO,Sênior,14,Aquisição de novos clientes,API de Integração,9,7,6,Telecom,378,Alta,2
MVNO,Sênior,14,Aquisição de novos clientes,Onboarding Digital,10,9,7,Telecom,630,Alta,2
MVNO,Sênior,14,Aquisição de novos clientes,Plano Freemium PME,9,8,8,Telecom,576,Alta,2
MVNO,Sênior,14,Aquisição de novos clientes,Dashboard Consumo,6,7,7,Telecom,294,Média,2
MVNO,Sênior,14,Aquisição de novos clientes,Detecção Inativos,5,6,6,Telecom,180,Baixa,2
MVNO,Sênior,14,Aquisição de novos clientes,Autoportabilidade,10,9,8,Telecom,720,Alta,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Prova Virtual,2,4,5,E-commerce,40,Baixa,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Recomendações AI,9,8,6,E-commerce,432,Alta,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Entrega Expressa,7,7,7,E-commerce,343,Média,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Programa Fidelidade,10,9,8,E-commerce,720,Alta,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Live Commerce,8,7,6,E-commerce,336,Média,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Reviews com Fotos,9,9,9,E-commerce,729,Alta,2
E-commerce Cosméticos,Sênior,25,100% cosméticos,Busca por Imagem,3,5,4,E-commerce,60,Baixa,2
Fintech Crédito,Júnior,10,Redução de inadimplência,Score de Crédito ML,10,8,3,Fintech,240,Média,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Renegociação Digital,9,7,5,Fintech,315,Média,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Notificações Smart,7,6,7,Fintech,294,Média,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Dashboard Risco,6,7,4,Fintech,168,Baixa,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Onboarding KYC Auto,8,7,3,Fintech,168,Baixa,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Simulador Parcelas,5,8,8,Fintech,320,Média,0
Fintech Crédito,Júnior,10,Redução de inadimplência,Integração Open Finance,8,5,2,Fintech,80,Baixa,0
SaaS RH,Sênior,20,Expansão enterprise,SSO/SAML,9,9,8,SaaS B2B,648,Alta,2
SaaS RH,Sênior,20,Expansão enterprise,API Folha Pagamento,8,7,5,SaaS B2B,280,Média,2
SaaS RH,Sênior,20,Expansão enterprise,Relatórios Custom,7,8,7,SaaS B2B,392,Alta,2
SaaS RH,Sênior,20,Expansão enterprise,App Mobile,6,5,4,SaaS B2B,120,Baixa,2
SaaS RH,Sênior,20,Expansão enterprise,Workflow Aprovações,8,7,7,SaaS B2B,392,Alta,2
SaaS RH,Sênior,20,Expansão enterprise,Analytics People,9,6,5,SaaS B2B,270,Média,2
SaaS RH,Sênior,20,Expansão enterprise,Integração ERP,10,8,4,SaaS B2B,320,Média,2
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Prontuário Integrado,9,8,4,HealthTech,288,Média,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Lembretes Consulta,7,9,8,HealthTech,504,Alta,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Chat Assíncrono,6,5,6,HealthTech,180,Baixa,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Receita Digital,8,8,7,HealthTech,448,Alta,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Triagem Inteligente,9,6,3,HealthTech,162,Baixa,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Programa Saúde Preventiva,10,7,4,HealthTech,280,Média,1
HealthTech Telemedicina,Pleno,18,Retenção de pacientes,Integração Farmácias,7,6,3,HealthTech,126,Baixa,1
EdTech Cursos,Júnior,8,Engajamento dos alunos,Gamificação,9,7,4,EdTech,252,Média,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,Trilhas Personalizadas,10,8,3,EdTech,240,Média,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,Fórum Comunidade,7,6,6,EdTech,252,Média,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,Certificados Blockchain,4,3,2,EdTech,24,Baixa,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,App Offline,6,5,3,EdTech,90,Baixa,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,Mentoria 1:1,8,6,5,EdTech,240,Média,0
EdTech Cursos,Júnior,8,Engajamento dos alunos,Dashboard Progresso,8,8,6,EdTech,384,Alta,0
